Arm,PuzzleId,FEN,PlayedMove,GroundTruth,Continuation,Category,Band,Rating,RatingDeviation,GeneratedThemes,GameUrl,TrainingUrl,Review
blunder,whDwA,3r2qk/pp6/1bpr3p/5Q1R/1P1P1Np1/P5P1/5BKP/8 b - - 10 41,d8f8,blunder,f5e5 g8g7 e5d6,fork,1600-1999,1920,81,fork short,https://lichess.org/KJrCyj8z/black#82,https://lichess.org/training/whDwA,ok
blunder,bpCbt,6k1/1b5r/p4q2/1p1p2p1/3Pn1Q1/P1N3PP/1P4PK/1B6 b - - 2 35,e4f2,blunder,b1h7 g8h7 g4d7 f6g7 d7f5,fork,1600-1999,1680,113,attraction exposedKing fork long,https://lichess.org/tNXjX8mH/black#70,https://lichess.org/training/bpCbt,ok
blunder,8L114,4k2r/1p3pb1/p3p1p1/4PnBp/N1pP3P/3K1P2/PP3P2/7R w k - 0 24,d3c4,blunder,b7b5 c4d3 b5a4,fork,1600-1999,1735,215,fork short,https://lichess.org/IYdIqEhP#47,https://lichess.org/training/8L114,ok
blunder,UQlwg,4n3/6k1/1p2P1q1/p7/PbQ3p1/6P1/2p3KP/5R2 b - - 0 49,b4d2,blunder,c4d4 g7g8 d4d2,fork,1600-1999,1671,79,fork short,https://lichess.org/MVvdOiqJ/black#98,https://lichess.org/training/UQlwg,ok
blunder,zwVsY,2kr1b1r/ppp2ppp/8/3PP3/Pnq1N3/4PN2/1P3PPP/R1BQK2R w KQ - 1 12,f3d2,blunder,b4c2 d1c2 c4c2,fork,1600-1999,1907,76,fork short,https://lichess.org/abAGFcVx#23,https://lichess.org/training/zwVsY,ok
blunder,4Iwfx,1k1r4/ppp3p1/5p1p/2n4P/2PPp1b1/R2r2P1/1B1NKPB1/7R w - - 1 25,f2f3,blunder,e4f3 g2f3 d8e8,fork,2000+,2034,99,fork short,https://lichess.org/xFf4yIys#49,https://lichess.org/training/4Iwfx,ok
blunder,Q6TTF,4R3/8/8/5nPK/P2k4/4p3/8/8 w - - 0 75,a4a5,blunder,f5g7 h5h6 g7e8 a5a6 e3e2 a6a7 e8c7 g5g6 e2e1q,fork,2000+,2144,79,advancedPawn fork promotion quietMove veryLong,https://lichess.org/pOP6a197#149,https://lichess.org/training/Q6TTF,ok
blunder,RsNoa,r3r3/6k1/p7/1pQ1pq2/7p/P4P1P/1PP3P1/2KR4 b - - 13 42,a8d8,blunder,d1d8 e8d8 c5e7 g7g6 e7d8,fork,2000+,2348,82,attraction exposedKing fork long,https://lichess.org/JgMb4yEl/black#84,https://lichess.org/training/RsNoa,ok
blunder,Fiohr,r5k1/5pp1/8/pp6/1n1P1q2/1B5Q/5PPP/4RK2 b - - 0 28,f4d4,blunder,b3f7 g8f7 h3f3 f7g6 f3a8,fork,2000+,2070,89,attraction fork long sacrifice,https://lichess.org/JccdDSq2/black#56,https://lichess.org/training/Fiohr,ok
blunder,BV63p,8/p2k4/2pPq3/4Pp1p/5BPb/P1Q2K1P/8/8 w - - 0 40,g4g5,blunder,e6d5 f3e2 d5g2 e2d1 g2f1 d1c2 f1f4 e5e6 d7d6,fork,2000+,2212,76,exposedKing fork veryLong,https://lichess.org/J4KNHOte#79,https://lichess.org/training/BV63p,ok
blunder,SUETI,r1b2rk1/pp1nbpp1/7p/q7/3Q4/3BPNBP/PP3PP1/R3K2R w KQ - 1 16,d4c3,blunder,e7b4 e1g1 b4c3,pin,<1200,1040,87,pin short,https://lichess.org/RnP6yzHc#31,https://lichess.org/training/SUETI,ok
blunder,HK1bO,3r2k1/5p1p/p5p1/8/2P3q1/1PR1Q3/P3RPB1/3r2K1 w - - 1 37,e2e1,blunder,d1e1 e3e1 d8d1 e1d1 g4d1,pin,<1200,1173,152,clearance long pin,https://lichess.org/BYSDZqRP#73,https://lichess.org/training/HK1bO,ok
blunder,dIl9e,r3k2r/2ppqppp/5n2/p1p5/4P3/2P5/P1P1QPPP/R1B2RK1 b kq - 0 13,e7e4,blunder,e2e4 f6e4 f1e1,pin,<1200,1104,226,pin short,https://lichess.org/Uaf2q6Yl/black#26,https://lichess.org/training/dIl9e,ok
blunder,nTUu1,r5k1/2p3bp/2n1q3/3p4/p2P1NNP/5r2/PPpB4/2K1R1R1 b - - 1 30,e6d7,blunder,g4f6 g8h8 f6d7,pin,<1200,1189,238,pin short,https://lichess.org/1QcC05D9/black#60,https://lichess.org/training/nTUu1,ok
blunder,wiRcU,2Q3k1/3q1ppp/pp1b4/3P4/1P1p1P2/4r3/P5PP/2R3K1 b - - 1 26,d7c8,blunder,c1c8 d6f8 d5d6 e3e6 d6d7,pin,<1200,1163,283,advancedPawn long pin,https://lichess.org/hvjuSuAp/black#52,https://lichess.org/training/wiRcU,ok
blunder,WeZcE,5b1r/p1p2ppp/Pkp2n2/1r6/1P1q1P2/5P2/2QB3P/R3R2K b - - 2 23,f8b4,blunder,d2e3 d4e3 e1e3,pin,1200-1599,1235,149,pin short,https://lichess.org/CxGlN2kM/black#46,https://lichess.org/training/WeZcE,ok
blunder,sENN8,5rk1/3q1p2/r1p2bpp/p2ppP2/4P1P1/2N4P/PPPQ4/2KR3R w - - 0 18,e4d5,blunder,f6g5 d2g5 h6g5,pin,1200-1599,1272,76,pin short,https://lichess.org/65Ji2UPl#35,https://lichess.org/training/sENN8,ok
blunder,JnXp0,5r1k/1p6/1np2q1p/p4BbQ/4P3/5P2/PPP2P1P/6RK b - - 6 31,f6f7,blunder,g1g5 f7h5 g5h5,pin,1200-1599,1363,90,pin short,https://lichess.org/bguaUY8m/black#62,https://lichess.org/training/JnXp0,ok
blunder,OfV3K,2k4r/ppp2b2/3q4/3n1RNB/3n4/3P3Q/PPPB3K/R7 w - - 5 27,h2h1,blunder,h8h5 h3h5 f7h5,pin,1200-1599,1507,90,pin short,https://lichess.org/3lzh4S13#53,https://lichess.org/training/OfV3K,ok
blunder,w3uT5,1k2r3/ppq3p1/2p5/2Nn1pN1/2nP3p/1Q6/PP3PPP/5RK1 b - - 3 25,c4d2,blunder,c5a6 b8c8 a6c7,pin,1200-1599,1409,80,pin queensideAttack short,https://lichess.org/RiT6jFC7/black#50,https://lichess.org/training/w3uT5,ok
blunder,tDC6y,r2q1b1r/pp2pkp1/2n2n1p/8/3P2b1/1Q1B1N2/PP3PPP/R1B1K2R b KQ - 2 11,d8d5,blunder,d3c4 g4f3 g2f3 d5c4 b3c4,pin,1600-1999,1716,176,long pin,https://lichess.org/Fv5r1EtE/black#22,https://lichess.org/training/tDC6y,ok
blunder,8d3hR,r1b2r2/pppn1kb1/3pp2p/8/3PB2q/4PQ1P/PPP2P1B/R5RK b - - 5 18,d7f6,blunder,g1g4 h4g4 h3g4,pin,1600-1999,1933,82,pin short,https://lichess.org/jbhAukDA/black#36,https://lichess.org/training/8d3hR,ok
blunder,NFw9y,r6k/1b3pbp/p1qp4/2p5/1p3B2/3PQ3/PPP1R1PP/5RK1 w - - 0 26,f4h6,blunder,g7d4 e3d4 c5d4 f1f7 a8g8,pin,1600-1999,1818,78,long pin,https://lichess.org/XhRZvLh1#51,https://lichess.org/training/NFw9y,ok
blunder,RUzdi,2r3k1/1p3pPp/4b3/p2p4/3Q4/1P4P1/qB3PBP/4R1K1 w - - 0 22,e1a1,blunder,a2a1 b2a1 c8c1 g2f1 e6h3 d4d3 c1a1 g3g4 a1f1 d3f1 h3f1,pin,1600-1999,1922,90,pin sacrifice veryLong,https://lichess.org/YOjTNMKf#43,https://lichess.org/training/RUzdi,ok
blunder,0uVYU,8/5Bpk/3P2p1/p1n3P1/4p3/7K/P5Q1/4q3 b - - 1 38,c5d3,blunder,g2h2 d3f4 h3g4 f4h5 f7g6,pin,1600-1999,1965,229,deflection discoveredAttack long pin quietMove,https://lichess.org/zbMdiceU/black#76,https://lichess.org/training/0uVYU,ok
blunder,7vMzY,1k1r4/1p6/3p2P1/2pQ1PK1/2P1P3/3P3q/r7/3R2R1 w - - 0 57,d1e1,blunder,a2h2 g5f6 h3h4 g1g5 h2g2,pin,2000+,2390,116,long pin quietMove,https://lichess.org/czCbV1Fb#113,https://lichess.org/training/7vMzY,ok
blunder,fgEAB,7r/p3bk1p/2p1pp2/7Q/6N1/2q5/2P3PP/5R1K b - - 5 27,f7f8,blunder,g4e5 c3e5 h5e5,pin,2000+,2314,80,pin short,https://lichess.org/ShVGFKJc/black#54,https://lichess.org/training/fgEAB,ok
blunder,s3Kb8,6k1/p3Qpp1/q2n1pb1/3B3p/3P3N/7P/1r3PP1/4R1K1 b - - 1 30,b2b1,blunder,h4g6 b1e1 e7e1,pin,2000+,2038,101,pin short,https://lichess.org/nJCY2LP8/black#60,https://lichess.org/training/s3Kb8,ok
blunder,Ol5KN,1k1r4/pp6/4q3/5R1p/P1P1p3/1P4P1/3rQ2P/5R1K w - - 1 33,e2h5,blunder,e4e3 f1e1 e6c6 h5f3 d2d1,pin,2000+,2271,110,long pin,https://lichess.org/F1uWWMnw#65,https://lichess.org/training/Ol5KN,ok
blunder,8qkNn,r5k1/1b4P1/p3p2p/1p2p3/4pq2/7Q/PPP3R1/3B2K1 b - - 0 29,a8d8,blunder,h3e6 f4f7 d1g4 f7e6 g4e6,pin,2000+,2058,174,long pin quietMove,https://lichess.org/nXrDt4ll/black#58,https://lichess.org/training/8qkNn,ok
blunder,K7phL,8/4k3/1P4R1/2P5/4PK2/5P1p/8/1r6 w - - 0 54,f4g3,blunder,b1g1 g3h2 g1g6,skewer,<1200,1189,158,rookEndgame short skewer,https://lichess.org/BCLTVAz0#107,https://lichess.org/training/K7phL,ok
blunder,Qedfl,5R2/3RP1pk/5pbp/8/8/2K3P1/4r3/8 w - - 3 47,c3d4,blunder,e2d2 d4e3 d2d7 e7e8q g6e8,skewer,<1200,1197,79,long skewer,https://lichess.org/sZJJFkgf#93,https://lichess.org/training/Qedfl,ok
blunder,pyFxt,6k1/q6p/6pQ/p1pNpp2/P1P4P/1r6/6P1/6K1 b - - 3 31,e5e4,blunder,d5f6 g8f7 h6h7 f7f6 h7a7,skewer,<1200,1138,135,deflection interference long skewer,https://lichess.org/6Bhki1zP/black#62,https://lichess.org/training/pyFxt,ok
blunder,pBEpx,3R4/8/8/4p1pk/4P3/5P2/5K2/6r1 b - - 4 59,g1h1,blunder,d8h8 h5g6 h8h1,skewer,<1200,1195,249,rookEndgame short skewer,https://lichess.org/b3tObfcK/black#118,https://lichess.org/training/pBEpx,ok
blunder,89Ngy,4Q2R/6p1/3q2kp/1pp5/3b4/P5PP/7K/5r2 b - - 1 38,g6f6,blunder,h8f8 d6f8 e8f8 f6e6 f8f1,skewer,<1200,1170,75,exposedKing long skewer,https://lichess.org/GSv862jA/black#76,https://lichess.org/training/89Ngy,ok
blunder,inbmU,8/p4p1k/5P2/5r2/8/P6b/7P/2BR2K1 w - - 4 43,c1b2,blunder,f5g5 g1f2 g5g2 f2e3 g2b2,skewer,1200-1599,1320,240,long skewer,https://lichess.org/Xdl7WMKd#85,https://lichess.org/training/inbmU,ok
blunder,zKC68,3R4/8/8/P7/1k6/3p4/r7/3K4 b - - 1 54,b4a5,blunder,d8a8 a5b4 a8a2,skewer,1200-1599,1341,116,rookEndgame short skewer,https://lichess.org/ByOzF1PW/black#108,https://lichess.org/training/zKC68,ok
blunder,VhHdE,r7/8/8/2k2Bp1/3p1nP1/5K1p/P4P2/2R5 b - - 3 50,c5d5,blunder,f5e4 d5d6 e4a8,skewer,1200-1599,1366,104,short skewer,https://lichess.org/PvinBmYy/black#100,https://lichess.org/training/VhHdE,ok
blunder,xUFN4,4N3/8/8/5Q2/3K4/8/8/6qk w - - 3 62,d4d3,blunder,g1b1 d3d4 b1f5,skewer,1200-1599,1248,108,short skewer,https://lichess.org/jJ76HYkk#123,https://lichess.org/training/xUFN4,ok
blunder,h2VSS,8/8/3Q2pp/1pP1k3/pq5P/6P1/7K/8 b - - 1 56,e5e4,blunder,d6f4 e4d5 f4b4,skewer,1200-1599,1432,142,queenEndgame short skewer,https://lichess.org/jpTyJGBm/black#112,https://lichess.org/training/h2VSS,ok
blunder,eQijn,6k1/pR5p/4Nnp1/8/3K1P2/6P1/3r3P/8 w - - 1 35,d4e5,blunder,d2d5 e5f6 d5f5 f6e7 f5f7 e7d6 f7b7,skewer,1600-1999,1956,85,sacrifice skewer veryLong,https://lichess.org/GVmzi5jv#69,https://lichess.org/training/eQijn,ok
blunder,YuZ1s,8/R7/4P1p1/1p6/4kP2/K4RP1/Pr4P1/1r6 w - - 1 41,f3b3,blunder,b2b3 a2b3 b1a1 a3b4 a1a7,skewer,1600-1999,1817,155,exposedKing long rookEndgame skewer,https://lichess.org/qqJbDCs9#81,https://lichess.org/training/YuZ1s,ok
blunder,Asq2z,8/8/1p3B2/p3p3/P3ppk1/3qPP2/2r1N3/4QK2 b - - 0 44,e4f3,blunder,e1h4 g4f5 h4h7 f5f6 h7d3,skewer,1600-1999,1942,80,long skewer,https://lichess.org/49stwGqv/black#88,https://lichess.org/training/Asq2z,ok
blunder,4sKDk,8/pq3pkp/4pNp1/1b2P1P1/1p3P2/7P/PpP5/3RK1Q1 w - - 0 32,d1b1,blunder,b7f3 g1f2 f3h1 e1d2 h1b1,skewer,1600-1999,1856,79,exposedKing long skewer,https://lichess.org/I3uXjJkU#63,https://lichess.org/training/4sKDk,ok
blunder,HRYM8,5k2/7R/1pN5/5pp1/PP6/4b1PK/4r2P/8 w - - 0 31,g3g4,blunder,e3f4 g4f5 e2h2 h3g4 h2h7,skewer,1600-1999,1931,80,long skewer,https://lichess.org/VSdyHXaX#61,https://lichess.org/training/HRYM8,ok
blunder,ixpV4,4r3/4r3/1p1k4/p2p1P1p/P1pN3P/2P2R2/2K5/8 b - - 1 36,d6e5,blunder,f5f6 e7f7 f3e3 e5f6 e3e8,skewer,2000+,2187,101,long skewer,https://lichess.org/9q2tuV8Q/black#72,https://lichess.org/training/ixpV4,ok
blunder,Q7klN,4r1k1/pp4pp/2p5/8/3P4/3P1B2/P1P1p3/R1BKQ1q1 w - - 0 31,d1d2,blunder,g1g5 d2c3 g5a5 c3b3 a5e1,skewer,2000+,2085,126,long skewer,https://lichess.org/B8hQZ47n#61,https://lichess.org/training/Q7klN,ok
blunder,EeJQq,2kq4/ppp5/6p1/2Pnp3/1P3p2/P2K1P2/Q3P2r/1RB3R1 w - - 0 35,d3c4,blunder,d5e3 c1e3 d8g8 c4c3 g8a2,skewer,2000+,2110,115,long sacrifice skewer,https://lichess.org/jChZIeEZ#69,https://lichess.org/training/EeJQq,ok
blunder,urZfI,2r2rk1/pp2qppp/2np1n2/4p3/4P1P1/PP2BP2/1P1Q3P/1K1R1B1R w - - 0 17,d2d6,blunder,f8d8 d6e7 d8d1 b1c2 d1f1 e7f7 g8f7,skewer,2000+,2231,111,sacrifice skewer veryLong,https://lichess.org/3ehPWToP#33,https://lichess.org/training/urZfI,ok
blunder,qUbfk,2r2rk1/p1q2pbp/1p2p1p1/6B1/1n1PR3/2P2N2/P4PPP/RQ4K1 b - - 0 18,c7c3,blunder,g5d2 c3d3 d2b4 d3b1 a1b1,skewer,2000+,2369,181,long skewer,https://lichess.org/Mpm1h3fa/black#36,https://lichess.org/training/qUbfk,ok
blunder,itcNM,5K2/8/1b2B2p/p4Pk1/Pp4P1/1P6/8/8 b - - 14 58,g5g4,blunder,f5f6 g4g5 f6f7,discoveredAttack,<1200,825,188,advancedPawn bishopEndgame discoveredAttack short,https://lichess.org/TU8tLK0b/black#116,https://lichess.org/training/itcNM,ok
blunder,7t7er,4r1k1/1b4pp/p3p3/1pp5/3p1N2/P2Pb3/BPP3PP/5R1K b - - 3 24,e8f8,blunder,a2e6 g8h8 f4g6 h7g6 f1f8,discoveredAttack,<1200,1189,138,discoveredAttack kingsideAttack long,https://lichess.org/a0qvZ1Mp/black#48,https://lichess.org/training/7t7er,ok
blunder,c1bg8,3rk3/pQpn1prp/4b3/1B6/3P4/8/1PPK1PPR/q2R2N1 b - - 4 15,a1b2,blunder,b5d7 e8d7 b7b2,discoveredAttack,<1200,1132,96,discoveredAttack short,https://lichess.org/ZSOQ2FR7/black#30,https://lichess.org/training/c1bg8,ok
blunder,G9zzD,1r4k1/r2N1pp1/p2R3p/8/2QPb3/4P1P1/5PP1/3q1BK1 b - - 10 34,b8d8,blunder,d7f6 g7f6 d6d8,discoveredAttack,<1200,1099,128,discoveredAttack short,https://lichess.org/q155uddd/black#68,https://lichess.org/training/G9zzD,ok
blunder,zJ4Xc,rn2r2k/p4pp1/1p1p3p/2pP1P1n/2Pq4/1QBB1P2/PP5P/R5RK b - - 3 23,d4d3,blunder,c3g7 h5g7 b3d3,discoveredAttack,<1200,1043,166,discoveredAttack short,https://lichess.org/HzrMJ5v7/black#46,https://lichess.org/training/zJ4Xc,ok
blunder,1m8v8,8/1R4pk/4p2p/P3rb2/5n2/2B4P/5PP1/5K2 b - - 2 41,e5c5,blunder,b7g7 h7h8 g7c7 c5c3 c7c3,discoveredAttack,1200-1599,1284,96,discoveredAttack long,https://lichess.org/i7PvqU1X/black#82,https://lichess.org/training/1m8v8,ok
blunder,lXb4P,r3k2r/1bq1bp2/p2p1N1p/4p3/1p1N4/5QP1/PPP4P/1K1RR3 b kq - 0 21,e8f8,blunder,d4e6 f7e6 f6d5,discoveredAttack,1200-1599,1410,182,discoveredAttack sacrifice short,https://lichess.org/nHtl9nLh/black#42,https://lichess.org/training/lXb4P,ok
blunder,tiGA6,r2q1k1r/bpp1n3/p2ppN1p/8/3PPp2/P4N2/1P1Q1PPP/R3K2R w KQ - 1 18,d2f4,blunder,e7g6 f4c1 d8f6,discoveredAttack,1200-1599,1340,146,discoveredAttack short,https://lichess.org/9CHRWK2C#35,https://lichess.org/training/tiGA6,ok
blunder,yL4Ee,1kr5/p3rp2/Pp1P4/1R2Pp2/Q1p1qPpp/2P5/2P3P1/5BK1 b - - 0 46,e7d7,blunder,b5b6 a7b6 a4d7,discoveredAttack,1200-1599,1593,79,discoveredAttack queensideAttack short,https://lichess.org/24yYNtJ7/black#92,https://lichess.org/training/yL4Ee,ok
blunder,REkPp,6r1/2p2pr1/4p1pk/1p1pP1RP/p2P4/P1P3R1/1P3P2/6K1 w - - 1 32,f2f4,blunder,g6h5 g3h3 g7g5,discoveredAttack,1200-1599,1247,243,discoveredAttack rookEndgame short,https://lichess.org/jZpQPzoe#63,https://lichess.org/training/REkPp,ok
