PuzzleId,GeneratedThemes
0e0LS,attraction sacrifice pin veryLong
0e0Q7,deflection advancedPawn promotion long
0eF1t,mateIn2 mate short
0ecqP,mateIn1 mate queenRookEndgame oneMove
0euyc,quietMove pawnEndgame long
0ezKa,mateIn1 mate oneMove
0f4Ly,mateIn1 mate oneMove
0fGn4,intermezzo short
0fHuH,pin short
0fdGC,pawnEndgame long
0fekf,mateIn2 mate short
0fqpT,mateIn4 mate sacrifice veryLong
0fuZG,mateIn2 mate short
0gHbB,mateIn1 mate oneMove
0gbsj,mateIn1 mate oneMove
0h4Qz,mateIn2 mate short
0h9fI,mateIn4 mate exposedKing kingsideAttack veryLong
0hWxf,mateIn2 mate advancedPawn promotion short
0hiUE,hangingPiece short
0hpNA,advancedPawn promotion rookEndgame veryLong
0hrNm,mateIn2 mate short
0i2ed,long
0iPSw,mateIn1 mate oneMove
0inAZ,short
0j33H,mateIn2 mate sacrifice kingsideAttack short
0k2Ok,mateIn1 mate oneMove
0lVu2,skewer queenEndgame long
0llRT,fork short
0m3jF,quietMove rookEndgame long
0m502,sacrifice kingsideAttack short
0n6ug,kingsideAttack short
0nC59,deflection kingsideAttack long
0nWuN,discoveredAttack kingsideAttack long
0nXvB,fork short
0nciC,deflection fork short
0o58c,advancedPawn short
0oNaV,mateIn1 mate backRankMate oneMove
0oaBA,queensideAttack long
0pLZI,discoveredAttack long
0pOu8,pin short
0pSOC,advancedPawn quietMove rookEndgame veryLong
0q1Eq,deflection rookEndgame short
0q8DY,kingsideAttack veryLong
0q9CK,advancedPawn pin rookEndgame veryLong
0qRaZ,short
0rlu2,discoveredAttack kingsideAttack short
0rtFq,fork long
0s2P3,mateIn1 mate oneMove
0s7Aw,mateIn2 mate queensideAttack short
0s7wv,mateIn5 mate attraction sacrifice veryLong
0sbxs,discoveredAttack short
0sobm,attraction long
0tEmd,fork short
0tdVh,mateIn2 mate kingsideAttack short
0tf0r,quietMove defensiveMove pawnEndgame short
0txz3,sacrifice veryLong
0uFkg,mateIn1 mate oneMove
0uVYU,deflection quietMove discoveredAttack pin long
0uarG,mateIn2 mate backRankMate short
0ufTi,fork clearance veryLong
0unAq,mateIn1 mate kingsideAttack oneMove
0vFMt,mateIn1 mate discoveredAttack oneMove
0vFP7,deflection fork veryLong
0vNvS,fork short
0vPzD,intermezzo long
0vcqO,fork long
0vhG3,long
0vxrM,mateIn2 mate kingsideAttack short
0w5CP,short
0w6Ub,mateIn1 mate hangingPiece kingsideAttack oneMove
0wVLR,exposedKing intermezzo long
0wXx5,fork short
0wvRC,fork long
0wxUl,short
0x6bA,mateIn2 mate queensideAttack short
0xEpc,mateIn2 mate backRankMate deflection discoveredAttack short
0xHZJ,fork exposedKing long
0xLW3,mateIn2 mate short
0xMkT,mateIn2 mate fork pin short
0xUNk,mateIn2 mate backRankMate short
0xY8Y,mateIn2 mate rookEndgame short
0xdxn,mateIn1 mate queensideAttack oneMove
0xgfM,short
0xvo0,attraction sacrifice fork long
0yJvp,long
0yjuI,mateIn2 mate advancedPawn promotion queenRookEndgame short
0z5OU,pin long
0zESU,mateIn2 mate short
0zJOr,long
0zKf5,mateIn1 mate oneMove
0zl5F,mateIn2 mate advancedPawn promotion queenRookEndgame short
0zycJ,pin short
0zzLe,short
10h8T,mateIn2 mate deflection short
11101,attraction deflection short
112jE,mateIn4 mate exposedKing veryLong
117gg,knightEndgame short
11Far,mateIn1 mate rookEndgame oneMove
11OD9,fork long
11hbV,mateIn1 mate kingsideAttack oneMove
12ETq,defensiveMove veryLong
12HSq,short
12lJY,short
13Mjy,doubleCheck veryLong
13efn,hangingPiece short
13nRO,mateIn1 mate oneMove
14bBJ,pin short
14cLi,mateIn1 mate rookEndgame oneMove
15CYY,kingsideAttack short
15Eyf,attraction deflection sacrifice clearance veryLong
15IJL,mateIn1 mate oneMove
15Yt5,mateIn1 mate oneMove
15hXZ,long
15i97,mateIn1 mate rookEndgame oneMove
15vEq,advancedPawn bishopEndgame short
15yRM,attraction sacrifice fork long
15yms,pin long
16GCO,short
16RaA,mateIn2 mate short
16Sik,mateIn1 mate oneMove
17CEf,short
182zY,pin short
183JM,mateIn1 mate oneMove
18FJe,deflection veryLong
18RPO,mateIn2 mate backRankMate deflection short
18ihB,queensideAttack short
19bsu,mateIn2 mate backRankMate short
1A8Br,discoveredAttack short
1ADhK,mateIn2 mate sacrifice short
1ADtw,exposedKing long
1AUp7,mateIn3 mate attraction sacrifice pin long
1Anph,deflection sacrifice veryLong
1B6fj,fork discoveredAttack pin long
1BIYZ,defensiveMove long
1BUF6,quietMove long
1BavH,mateIn2 mate short
1BlMn,veryLong
1BnWr,fork short
1BuDy,skewer short
1BwcF,attraction sacrifice fork long
1C37s,quietMove queenEndgame veryLong
1CFFr,kingsideAttack short
1CQqx,kingsideAttack short
1CoPj,defensiveMove veryLong
1Cp6b,mateIn2 mate sacrifice kingsideAttack short
1Cw5v,skewer rookEndgame short
1D1q8,mateIn1 mate anastasiaMate oneMove
1DDbn,mateIn3 mate backRankMate sacrifice long
1DJE8,discoveredAttack short
1DJLJ,discoveredAttack short
1EIAe,deflection advancedPawn promotion knightEndgame short
1EMT1,skewer rookEndgame short
1ESuR,mateIn3 mate attraction sacrifice long
1EhFs,sacrifice short
1ErNn,fork short
1FO5Y,mateIn2 mate short
1FP6T,mateIn2 mate short
1GRRR,exposedKing long
1GcYI,short
1GgFx,mateIn2 mate short
1Gn8f,short
1GqeQ,sacrifice veryLong
1HgUL,mateIn2 mate short
1HpYR,exposedKing veryLong
1HvLe,advancedPawn defensiveMove long
1Hzd4,mateIn2 mate backRankMate short
1IE1K,defensiveMove intermezzo long
1IRKS,mateIn1 mate oneMove
1IqAG,fork veryLong
1J80k,mateIn1 mate backRankMate oneMove
1JKEv,deflection short
1JSFx,deflection long
1Ja7s,discoveredAttack short
1Je80,advancedPawn short
1Jkoz,mateIn2 mate short
1JrPK,quietMove short
1K3R0,intermezzo short
1K5QW,fork short
1KOnA,short
1KOsv,long
1KU9Y,deflection exposedKing rookEndgame long
1LEfr,skewer short
1M13O,discoveredAttack long
1M5ZW,fork long
1MLKy,mateIn3 mate dovetailMate queenEndgame long
1MYIX,fork veryLong
1N8xu,veryLong
1Nbo9,attraction veryLong
1OBgA,short
1OKVV,short
1OUUi,short
1OWJm,short
1Oa6F,deflection long
1P5Om,advancedPawn promotion rookEndgame short
1PDeH,deflection long
1PGQr,long
1PGbW,rookEndgame short
1PLBO,defensiveMove long
1PaHQ,exposedKing long
1PpBH,mateIn2 mate short
1QA9E,mateIn1 mate oneMove
1Qlye,fork long
1Qzxh,mateIn2 mate short
1R7co,skewer capturingDefender short
1RRuN,mateIn2 mate short
1RUkZ,mateIn1 mate oneMove
1RtPO,mateIn2 mate queenEndgame short
1S0qn,defensiveMove hangingPiece pin long
1S8LH,pawnEndgame long
1SGR6,short
1SZK6,hangingPiece long
1TMxD,sacrifice fork long
1TOrk,mateIn2 mate short
1Th7H,mateIn2 mate sacrifice kingsideAttack short
1UX3l,defensiveMove short
1UYGv,discoveredAttack rookEndgame short
1Und4,fork short
1Uwwh,mateIn2 mate short
1Uzmw,skewer queenEndgame long
1V4Bz,exposedKing long
1VBed,quietMove long
1VXbk,intermezzo short
1VZqt,mateIn1 mate oneMove
1VbJ5,short
1Vg7X,exposedKing long
1WQUx,deflection short
1X2aD,deflection discoveredAttack long
1XC3B,attraction long
1Xa70,mateIn3 mate backRankMate long
1XfUX,attraction fork long
1YmTD,mateIn2 mate pin short
1YqCp,mateIn2 mate pin short
1Ys5I,long
1Yy3y,mateIn2 mate attraction sacrifice short
1Z8Iz,short
1ZRn9,intermezzo short
1at8X,sacrifice pin kingsideAttack long
1atmv,mateIn2 mate short
1aw41,xRayAttack short
1awgV,long
1b8O2,pawnEndgame long
1bOU6,short
1bfec,quietMove collinearMove long
1cOy4,short
1cTHg,fork short
1cbVP,long
1cdaz,short
1cebb,rookEndgame short
1ck8u,discoveredAttack short
1cqOg,long
1dIYP,deflection short
1dKZJ,attraction fork long
1dUkw,deflection long
1da5A,mateIn1 mate kingsideAttack oneMove
1di2A,sacrifice long
1dku9,mateIn2 mate sacrifice short
1eNXr,mateIn2 mate rookEndgame short
1eTkv,deflection sacrifice intermezzo long
1eY46,pawnEndgame long
1eapW,skewer veryLong
1emET,capturingDefender short
1f1gj,advancedPawn discoveredAttack pin long
1fQ5P,hangingPiece discoveredAttack short
1fi0a,mateIn2 mate sacrifice kingsideAttack short
1ftYV,trappedPiece rookEndgame short
1fu5V,fork long
1g5aP,fork short
1g6mx,capturingDefender long
1gEWg,long
1gfiU,exposedKing veryLong
1gjpj,short
1gkbn,pin long
1grOw,fork discoveredAttack short
1h9Rl,deflection kingsideAttack short
1ht3n,mateIn1 mate oneMove
1hxzJ,short
1i2Xs,short
1iAfD,attraction fork veryLong
1iaxr,advancedPawn sacrifice long
1jGhI,quietMove clearance long
1jI7O,mateIn2 mate short
1jIvz,attraction sacrifice exposedKing long
1jJDf,mateIn2 mate backRankMate rookEndgame short
1jbBh,mateIn2 mate short
1joku,fork short
1jryG,mateIn1 mate kingsideAttack oneMove
1kPRi,fork discoveredAttack exposedKing long
1keXm,short
1kgxw,trappedPiece short
1lDyj,mateIn1 mate oneMove
1lKYG,mateIn2 mate short
1lTNL,mateIn2 mate backRankMate short
1lb8z,mateIn3 mate backRankMate long
1m8v8,discoveredAttack long
1mGbD,mateIn2 mate short
1mbCG,mateIn1 mate queenEndgame oneMove
1mec1,mateIn1 mate queensideAttack oneMove
1n08b,mateIn1 mate oneMove
1nL9A,mateIn1 mate oneMove
1nb8G,long
1ndI8,mateIn1 mate kingsideAttack oneMove
1nm1D,trappedPiece long
1nnlX,mateIn3 mate backRankMate sacrifice long
1nz0Y,advancedPawn promotion long
1oA8p,mateIn1 mate hangingPiece kingsideAttack oneMove
1oGid,defensiveMove short
1p8dg,pawnEndgame veryLong
1p8sr,pawnEndgame veryLong
1pNEh,mateIn1 mate kingsideAttack oneMove
1pbPw,deflection short
1piMH,short
1qOmF,mateIn3 mate attraction sacrifice long
1qRVW,mateIn2 mate fork short
1qcQ1,queenEndgame short
1qekE,long
1qlfk,attraction sacrifice fork long
1qnYj,pin long
1qstI,mateIn1 mate attackingF2F7 oneMove
1r0ZX,mateIn3 mate sacrifice long
1rMI8,mateIn4 mate attraction sacrifice kingsideAttack veryLong
1rRMX,discoveredAttack queenRookEndgame short
1rUiA,mateIn2 mate short
1rUw3,mateIn2 mate short
1sClR,long
1sXrr,defensiveMove pawnEndgame long
1tPXv,defensiveMove pin long
1tbv3,skewer short
1trnv,short
1u5pv,quietMove long
1uAKT,fork short
1uinG,mateIn2 mate short
1uwRI,mateIn1 mate kingsideAttack oneMove
1uwuu,fork short
1vHv8,mateIn2 mate kingsideAttack short
1vQJk,pin long
1ve1E,exposedKing queenEndgame long
1vmOB,pawnEndgame long
1vzhm,intermezzo rookEndgame short
1wNXk,mateIn1 mate oneMove
1xA5F,veryLong
1xgc2,short
1xosU,advancedPawn promotion knightEndgame short
1xp8Q,mateIn2 mate queensideAttack short
1xsI7,short
1xyhZ,mateIn2 mate pin short
1yJvk,fork long
1yLhK,advancedPawn quietMove promotion pawnEndgame veryLong
1yehC,fork veryLong
1znWY,fork long
1ztfu,mateIn1 mate backRankMate oneMove
1zyGp,skewer short
205ST,attraction fork exposedKing veryLong
20CHb,hangingPiece short
20FMx,veryLong
20ZNC,long
20aJO,attraction sacrifice pin long
20bX3,short
20kZM,mateIn1 mate queensideAttack oneMove
21EB3,mateIn2 mate short
21MOZ,long
21NKe,mateIn2 mate sacrifice short
21fZF,mateIn2 mate rookEndgame short
21fhK,sacrifice pin short
21gMh,queenEndgame short
21qLx,defensiveMove pawnEndgame long
22jST,long
22tCO,kingsideAttack short
22vvs,queenEndgame short
23LUO,advancedPawn sacrifice long
23Pv1,hangingPiece short
23Z8i,mateIn1 mate oneMove
23eHD,exposedKing rookEndgame long
23fQK,fork short
23wRF,fork short
23weQ,mateIn1 mate oneMove
240R8,mateIn2 mate rookEndgame short
24SJp,interference long
25X0y,mateIn2 mate backRankMate short
26sZ7,hangingPiece short
27Atf,mateIn1 mate oneMove
27B8O,mateIn1 mate oneMove
27Esb,mateIn2 mate backRankMate short
28L70,quietMove skewer long
28eS5,deflection rookEndgame short
28nng,mateIn1 mate oneMove
2930w,mateIn2 mate short
29JmB,defensiveMove pawnEndgame short
29SmD,short
29gpa,quietMove veryLong
2A5dp,short
2ALfL,mateIn3 mate sacrifice long
2APsN,advancedPawn promotion short
2ASEz,veryLong
2AjpC,defensiveMove rookEndgame short
2AoCG,rookEndgame short
2B49w,advancedPawn bishopEndgame short
2B4sE,mateIn2 mate short
2BNzQ,defensiveMove long
2BWKq,short
2BiYg,mateIn3 mate attraction sacrifice long
2CMLy,mateIn1 mate oneMove
2CkQO,mateIn2 mate short
2Cnir,long
2Cor3,short
2DYiv,mateIn2 mate doubleCheck short
2DlLt,hangingPiece long
2EUpO,advancedPawn defensiveMove promotion rookEndgame veryLong
2Ex2r,quietMove long
2F1bT,mateIn1 mate oneMove
2F2Zq,trappedPiece short
2F4D9,fork short
2FNVF,mateIn1 mate oneMove
2GLK3,sacrifice bishopEndgame short
2GNqw,sacrifice long
2GNtz,fork short
2GSqo,short
2GSxS,advancedPawn sacrifice fork discoveredAttack exposedKing long
2GWHz,mateIn1 mate oneMove
2HNZf,quietMove long
2HvB5,queensideAttack short
2Hxav,pin long
2I4gG,pawnEndgame short
2I7JF,capturingDefender short
2IUUn,mateIn2 mate short
2Ieeq,pawnEndgame veryLong
2Ix2o,mateIn2 mate bodenMate sacrifice queensideAttack short
2J08s,quietMove defensiveMove hangingPiece long
2J8Mf,long
2JSnn,mateIn2 mate hangingPiece short
2Josd,mateIn2 mate backRankMate short
2JrIx,defensiveMove short
2K4R5,mateIn3 mate deflection long
2K4zN,short
2KJ9W,advancedPawn queenEndgame long
2Kph6,queensideAttack long
2KwkU,fork short
2LZbR,long
2Ldj4,attraction advancedPawn promotion long
2Lf2T,mateIn1 mate kingsideAttack oneMove
2MdVu,mateIn1 mate queensideAttack oneMove
2MkQN,mateIn2 mate short
2Mlho,pin long
2MnMW,short
2N3c2,skewer long
2NC6V,mateIn1 mate queenRookEndgame oneMove
2NC7c,fork short
2NCRe,mateIn1 mate oneMove
2NIyZ,mateIn1 mate oneMove
2NVC6,pin short
2NaEF,advancedPawn pawnEndgame veryLong
2NrsU,defensiveMove short
2O3aQ,advancedPawn promotion short
2O5EH,mateIn3 mate backRankMate sacrifice long
2O6q1,fork short
2OVrQ,long
2OdzG,mateIn1 mate kingsideAttack oneMove
2OeNP,pin kingsideAttack short
2Ojr6,pin long
2OkHI,fork short
2PCAn,fork long
2Pfxo,short
2Q6Ge,mateIn2 mate kingsideAttack short
2QCnE,fork short
2QLVq,mateIn1 mate backRankMate queenRookEndgame oneMove
2QWZ4,mateIn3 mate exposedKing rookEndgame long
2QeT6,hangingPiece long
2QnbK,mateIn1 mate attackingF2F7 oneMove
2QrOO,mateIn3 mate fork long
2R7ry,mateIn2 mate sacrifice kingsideAttack short
2RILn,long
2RKa7,advancedPawn promotion rookEndgame short
2RNf0,short
2RaTY,long
2RvQY,mateIn1 mate pin oneMove
2RzwW,mateIn2 mate fork short
2SM3Y,advancedPawn defensiveMove short
2SOQk,mateIn1 mate oneMove
2SgM7,mateIn2 mate sacrifice short
2Shb2,mateIn1 mate rookEndgame oneMove
2SjOm,sacrifice clearance long
2Sopk,advancedPawn short
2SqxH,pin short
2TGq9,pin long
2TRrW,short
2TeNG,short
2UPmZ,mateIn1 mate pin kingsideAttack oneMove
2UdIH,hangingPiece short
2UeTA,deflection discoveredAttack veryLong
2UiLD,defensiveMove pawnEndgame short
2V493,mateIn1 mate oneMove
2Vhdk,mateIn1 mate knightEndgame oneMove
2VwXn,mateIn2 mate attraction deflection sacrifice short
2W6u7,mateIn3 mate attraction sacrifice exposedKing long
2WS8I,attraction quietMove sacrifice veryLong
2WXJR,short
2WZHs,mateIn2 mate short
2WfDT,fork short
2WnaE,mateIn1 mate queensideAttack oneMove
2WqSz,hangingPiece short
2Wzf4,mateIn2 mate queenRookEndgame short
2XKrl,quietMove long
2Y5XG,short
2YAOm,mateIn2 mate backRankMate xRayAttack short
2Z1LX,mateIn2 mate kingsideAttack short
2ZP1z,mateIn2 mate attraction sacrifice short
2Zgh2,mateIn4 mate deflection veryLong
2Zl3A,fork long
2a2O1,sacrifice fork long
2a97r,short
2aEPn,fork discoveredAttack long
2agbN,mateIn2 mate attraction pin short
2aq44,fork short
2bCnm,mateIn4 mate backRankMate attraction deflection sacrifice veryLong
2bEq2,mateIn1 mate hangingPiece kingsideAttack oneMove
2bwtU,advancedPawn promotion bishopEndgame veryLong
2bx8O,short
2cBiI,attraction sacrifice collinearMove veryLong
2cVsr,discoveredAttack short
2chnR,mateIn2 mate sacrifice kingsideAttack short
2cqrX,deflection short
2dVxz,mateIn1 mate oneMove
2daL9,deflection short
2df65,mateIn1 mate oneMove
2dlSq,mateIn1 mate hangingPiece kingsideAttack oneMove
2e3Xm,mateIn2 mate rookEndgame short
2eVp6,quietMove long
2eabN,deflection fork capturingDefender long
2eovs,mateIn1 mate kingsideAttack oneMove
2erum,mateIn1 mate oneMove
2evSJ,fork discoveredAttack long
2fT20,quietMove pawnEndgame long
2fXp0,short
2fjCY,mateIn1 mate kingsideAttack oneMove
2gTIE,long
2gdIt,mateIn1 mate hangingPiece kingsideAttack oneMove
2gdbm,long
2gePe,queenEndgame short
2gjV6,short
2gxpe,mateIn1 mate doubleCheck oneMove
2gy9w,short
2hQSc,sacrifice veryLong
2hRTq,mateIn2 mate backRankMate sacrifice short
2hSLg,long
2hSSo,mateIn1 mate oneMove
2hTxJ,mateIn1 mate oneMove
2haHf,pawnEndgame short
2hc3D,mateIn2 mate kingsideAttack short
2htci,attraction sacrifice fork veryLong
2i6Ab,advancedPawn promotion rookEndgame short
2jGFI,mateIn1 mate smotheredMate oneMove
2jh5A,mateIn3 mate sacrifice long
2jnM5,pin short
2jyx9,knightEndgame short
2k0do,advancedPawn sacrifice trappedPiece pin veryLong
2kE3Z,trappedPiece veryLong
2kNmY,hangingPiece skewer rookEndgame short
2kR3Z,mateIn2 mate sacrifice kingsideAttack short
2kWPl,veryLong
2kqD7,mateIn1 mate oneMove
2kwEz,mateIn2 mate sacrifice short
2l0OA,mateIn1 mate oneMove
2lWOR,intermezzo veryLong
2ldBR,pawnEndgame short
2mIGX,mateIn2 mate short
2mtye,mateIn1 mate queensideAttack oneMove
2n69D,hangingPiece trappedPiece long
2nEvG,mateIn2 mate kingsideAttack short
2nShW,advancedPawn quietMove promotion pawnEndgame veryLong
2nWbR,short
2oj9Z,advancedPawn promotion knightEndgame long
2pfKG,intermezzo short
2pjKM,fork short
2q0bV,quietMove long
2qS6h,short
2qVcr,fork short
2qbAq,mateIn2 mate backRankMate short
2qbX9,mateIn2 mate sacrifice rookEndgame short
2qdAj,mateIn1 mate oneMove
2qg8L,skewer short
2qlIB,mateIn1 mate kingsideAttack oneMove
2qrH0,quietMove bishopEndgame long
2qs0d,mateIn1 mate attackingF2F7 oneMove
2quBv,discoveredAttack long
2rF7t,mateIn3 mate backRankMate sacrifice long
2rJXh,collinearMove short
2rZMa,advancedPawn rookEndgame short
2reve,short
2rodV,hangingPiece veryLong
2s2rW,deflection short
2sCFz,mateIn1 mate backRankMate hangingPiece oneMove
2sUN5,mateIn2 mate short
2sh2S,mateIn1 mate doubleCheck oneMove
2sjyO,rookEndgame short
2szOG,mateIn2 mate short
2tAtV,short
2tHKJ,veryLong
2tIjA,long
2tJPE,short
2taYW,fork short
2tfLb,short
2toiN,deflection long
2u9Wi,sacrifice long
2uE37,defensiveMove fork long
2uOJe,short
2uS6k,fork long
2uXZq,veryLong
2unRM,discoveredAttack long
2v2uN,mateIn2 mate attraction sacrifice short
2vWE5,sacrifice skewer intermezzo long
2vc1V,mateIn2 mate backRankMate sacrifice short
2voKU,mateIn2 mate kingsideAttack short
2w1S9,mateIn1 mate hangingPiece kingsideAttack oneMove
2wMvA,mateIn3 mate exposedKing long
2wRVK,mateIn2 mate hangingPiece kingsideAttack short
2waDw,short
2wx8K,mateIn1 mate rookEndgame oneMove
2x47E,intermezzo short
2xM4x,pin capturingDefender long
2xbHd,kingsideAttack short
2xlKz,mateIn1 mate hangingPiece oneMove
2xmss,quietMove defensiveMove long
2yEeL,short
2yX8T,fork long
2ycbO,mateIn2 mate short
2ydPg,discoveredAttack short
2ysb1,fork long
2zGXO,mateIn2 mate backRankMate hangingPiece rookEndgame short
307XP,defensiveMove short
30ID3,long
30sWZ,fork short
3174a,rookEndgame long
31L2a,mateIn2 mate short
31OVB,mateIn3 mate backRankMate sacrifice long
31Pqa,mateIn1 mate kingsideAttack oneMove
31Tx5,mateIn2 mate short
31YoQ,mateIn2 mate short
31qUu,trappedPiece clearance long
31zOU,mateIn1 mate oneMove
32DA0,deflection long
32QcO,sacrifice fork veryLong
32WUk,deflection long
330Cf,short
33gR8,deflection short
34H66,fork short
34M6t,mateIn1 mate queenEndgame oneMove
34MCX,mateIn2 mate kingsideAttack short
34yQw,deflection long
35MYw,mateIn1 mate oneMove
35jSO,skewer long
35uWy,fork short
35xFz,mateIn2 mate short
36Mzm,mateIn2 mate rookEndgame short
378uu,fork long
37AyW,mateIn1 mate oneMove
37IUm,mateIn1 mate kingsideAttack oneMove
37r28,fork long
38Ahl,skewer short
38XD6,mateIn2 mate discoveredAttack short
38dE8,mateIn1 mate kingsideAttack oneMove
38ddI,short
38zbY,mateIn1 mate rookEndgame oneMove
391Ma,fork short
392mD,discoveredAttack long
393CB,fork short
39Ar8,defensiveMove long
39BmO,fork short
39EYR,short
