PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate,GameDate
02Aho,6k1/4R2p/1q1p2p1/1pnBP1P1/1p2P2P/6K1/2r5/1R6 b - - 0 36,g8h8 e7e8 h8g7 e8g8,1153,262,100,2,endgame,https://lichess.org/4Gn1PjYA/black#72,,,2026-06-03
02E9I,2r3k1/1p2Q2p/p4pp1/4q3/8/P6P/1P4P1/K6R w - - 1 33,e7b7 c8b8 b7b8 e5b8,1368,81,100,75,endgame,https://lichess.org/kXI240M9#65,,,2026-06-03
02GCe,Q7/N4ppk/4pn1p/1P6/P2q4/6P1/5PKP/8 w - - 1 33,a4a5 f6e4 a8e4 d4e4,1765,75,100,71,endgame,https://lichess.org/ybACYQGX#65,,,2026-06-03
02QOT,8/2K5/4k3/4p2p/4P2P/8/8/8 w - - 4 59,c7d8 e6d6 d8e8 d6c5 e8e7 c5d4 e7f6 d4e4,1214,78,100,62,endgame,https://lichess.org/un1lKWT6#117,,,2026-06-01
02Syu,3r2k1/5p1p/p4np1/1p3b2/1P5P/P1R2B2/4RPP1/1qQ3K1 w - - 6 29,f3b7 d8d1 c1d1 b1d1,926,174,100,28,middlegame,https://lichess.org/oRHz8Odd#57,,,2026-06-02
03Fju,6k1/5p1p/4p3/5p2/7R/6PK/2Q1PP1P/3r1n1q w - - 4 32,c2d1 h1h2,1133,188,100,6,endgame,https://lichess.org/wTyRyhWX#63,,,2026-06-08
03iWa,r2q3k/1p4pn/5b1p/pNB1n3/P2p2b1/1B1Q4/1PP2PPP/R4RK1 w - - 1 25,d3d4 e5f3 g2f3 f6d4,1135,195,100,7,middlegame,https://lichess.org/dd0SlDKU#49,,,2026-06-08
047iS,3B2k1/1R3p1b/4p1pP/3pP3/3P2Q1/2N1q3/3nN1K1/5r2 w - - 5 39,d8f6 e3f2 g2h3 f1h1,1871,132,100,10,middlegame,https://lichess.org/avvTNgYt#77,,,2026-06-06
048Kv,r1N2r1k/p5pp/2p1Q3/3p4/2B5/8/PP3qPP/R2K3R w - - 1 22,c4b3 f2b2 h1e1 b2a1 d1c2 a1d4,2580,125,100,26,middlegame,https://lichess.org/DSdD3mf6#43,,,2026-06-03
04Ake,3r2k1/1Q3p2/p3b3/5q2/P5rp/5N2/5PPB/R4RK1 w - - 0 32,f3e5 e6d5 b7d5 d8d5 e5g4 f5g4,1912,94,100,33,middlegame,https://lichess.org/ZDozgjqX#63,,,2026-06-07
04GCl,8/7p/8/1B1k4/P5RP/1r6/3r2PK/8 b - - 0 50,d5e6 b5c4 e6d6 c4b3,1547,214,100,6,endgame master,https://lichess.org/TsT6neM1/black#100,,,2026-06-08
04QvV,5r1k/p5p1/1p5p/4P3/3p4/5KP1/PP5P/5R2 w - - 2 32,f3e2 d4d3 e2d3 f8f1,1184,164,100,11,endgame,https://lichess.org/1AKXG1nY#63,,,2026-06-05
04S7d,2kr3r/ppp1bpp1/2n5/1N1qp3/2P3P1/3bBN2/PP2QP2/2KR3R w - - 0 17,h1h8 d5c4 b5c3 d3e2,1729,100,100,18,middlegame,https://lichess.org/3K3zCCzT#33,Italian_Game Italian_Game_Two_Knights_Defense,,2026-06-08
058KH,8/3R4/6pk/8/p1p2KPP/P7/8/2r5 b - - 1 45,c1e1 g4g5 h6h5 d7h7,1195,155,100,11,endgame,https://lichess.org/kEJmI0aQ/black#90,,,2026-06-07
05ABJ,8/1pk5/2p2p2/2P1pP1p/1P2K2P/6P1/8/8 b - - 2 48,c7c8 g3g4 c8d7 g4g5,1904,131,100,20,endgame master,https://lichess.org/BLNqPowe/black#96,,,2026-06-03
05EF3,kr3r2/3nb1p1/1pqNp3/p1p1Pp2/P2P4/2PQB3/1R3PPP/1R4K1 b - - 1 27,e7d6 d3a6,1188,216,100,4,middlegame,https://lichess.org/xr6ooWPx/black#54,,,2026-06-01
065VA,8/2kp4/3Rp1b1/p1P5/1K1N1PP1/8/r7/8 w - - 0 49,b4b5 g6d3,1239,79,100,79,endgame,https://lichess.org/v8VWW8W2#97,,,2026-06-01
06I4b,4r1k1/1b3p1p/p2p4/Pp1Pr1p1/8/2P4N/1P1R2PP/3R2K1 w - - 0 26,h3f2 e5e1 d1e1 e8e1,1666,326,100,14,endgame master,https://lichess.org/3mjCFAHV#51,,,2026-06-08
06I6N,8/p7/1p5p/1P1kppp1/1P6/3KPPPP/8/8 w - - 0 39,f3f4 g5g4 h3g4 e5e4 d3d2 f5g4,2365,90,67,53,endgame,https://lichess.org/M5UPjhYz#77,,,2026-06-01
06IPr,5rk1/6p1/p2qP1Bp/1p6/8/2P3nP/6PK/1QR5 w - - 3 30,c1e1 g3f1 h2g1 d6h2,1272,84,100,74,endgame,https://lichess.org/JRXwIrIp#59,,,2026-06-01
06LpI,7r/Rpp2kp1/1r2p3/6P1/1PpPnP2/2P1P3/8/1NK1R3 w - - 1 36,e1e2 h8h1 c1c2 h1b1 c2b1 e4c3 b1c2 c3e2,1331,78,100,136,endgame,https://lichess.org/e3dUmh1s#71,,,2026-06-01
06QVP,rnb2r1k/pp2nNp1/1bpp1q1p/6NQ/3P4/3BB3/PP3PPP/R4RK1 b - - 3 17,h8g8 d3h7,1334,170,100,7,middlegame,https://lichess.org/VUNTA3gD/black#34,Kings_Pawn_Game Kings_Pawn_Game_McConnell_Defense,,2026-06-08
06bLx,1r2r1k1/p4pbp/b1p2np1/1qBp4/3P4/6P1/3NNPBP/R2Q1RK1 w - - 1 19,a1b1 b5e2 b1b8 e8b8 d1e2 a6e2,1684,102,100,18,middlegame,https://lichess.org/M72CdpTn#37,,,2026-06-02
06yqO,b3r3/5R2/p6p/2P1k1p1/1P1p4/PBpP3P/5PP1/6K1 w - - 1 36,g1f1 a8d5 b3d5 c3c2 d5c4 c2c1q,1918,186,100,6,endgame,https://lichess.org/FIsekBW2#71,,,2026-06-05
0793N,r7/1b2kppp/4p3/1p1rP3/8/1N2R3/2P2PPP/R5K1 w - - 0 23,a1a8 d5d1 e3e1 d1e1,1135,140,100,19,endgame,https://lichess.org/nBUrCmNz#45,,,2026-06-05
07MQU,8/6p1/2QPk3/2P1q2p/8/4p3/6P1/6K1 b - - 2 59,e3e2 c6e8 e6d5 e8e5,1054,167,100,10,endgame,https://lichess.org/r7TiVYaL/black#118,,,2026-06-04
07UIr,2kr3r/pbp4p/1p2p1p1/2qnb3/8/P1P3PP/1PQ1N1BK/R1B2R2 b - - 3 18,d5e3 g2b7 c8b7 c2e4 c5d5 e4e3,1821,100,100,20,middlegame,https://lichess.org/8xBnt0fQ/black#36,Hungarian_Opening Hungarian_Opening_Catalan_Formation,,2026-06-07
07bGU,5bk1/5p1p/p5p1/1qpRp1Pn/4P2P/1Q3P2/PPP5/1K6 w - - 4 29,d5e5 b5f1,1500,500,100,11,endgame,https://lichess.org/odAQhTLn#57,,,2026-06-08
07dGS,r2b2k1/1pp5/3p2p1/p1nPp1p1/2P1P1Pq/1NN5/PPQ1BrK1/R6R w - - 5 24,g2g1 h4g3,1029,79,100,49,master middlegame,https://lichess.org/enuvqtp2#47,,,2026-06-05
07fya,2r3k1/pp3ppp/2n2q2/1B1Qr3/8/5P2/PPP3PP/2KR2NR w - - 1 16,d5b3 c6d4 d1d4 e5e1 c1d2 e1g1 b3d5 g1h1,2179,154,100,8,middlegame,https://lichess.org/WX1ytm4K#31,French_Defense French_Defense_Classical_Variation,,2026-06-05
07jP3,3r3r/ppp1kp2/4bp1p/1B2p3/3nP2N/1P3P2/P1PR2PP/2KR4 w - - 1 18,c2c3 d4b5 d2d8 h8d8 d1d8 e7d8,1649,75,100,65,middlegame,https://lichess.org/WvxeqmZA#35,Pirc_Defense Pirc_Defense_Other_variations,,2026-06-03
08852,2kr1b1r/pbp2pp1/5n1p/3qN3/5B2/3p4/PPP2PPP/RN1QR1K1 w - - 0 14,b1c3 d5g2,1474,78,100,97,master opening,https://lichess.org/auGIWLuH#27,Italian_Game Italian_Game_Two_Knights_Defense,,2026-06-05
08DPS,8/1k6/1pp1p2p/4P1p1/KPP3P1/7P/8/8 w - - 8 43,c4c5 b7a6 a4b3 b6c5,1839,302,100,4,endgame,https://lichess.org/5ZljbyWE#85,,,2026-06-07
08Fl7,2n1r1rk/5R2/2b1n1PP/pp1pP3/3P4/bP2B3/4K3/3N2R1 b - - 1 36,g8f8 g6g7 e6g7 h6g7 h8g8 g7f8q,1947,192,100,4,middlegame,https://lichess.org/AiyHHeAS/black#72,,,2026-06-04
08Nkz,r1b3kr/pp1p2pp/2nBp3/1N3Q2/8/8/P1PK1PPP/q4B1R b - - 0 17,a1a2 f5f8,1003,177,100,5,middlegame,https://lichess.org/Oy6GNsh9/black#34,Sicilian_Defense Sicilian_Defense_Four_Knights_Variation,,2026-06-07
08RnE,r5k1/1pp3bp/p2q2p1/4p3/1PP1R1B1/1Q4P1/P5PP/6K1 b - - 3 29,h7h5 c4c5 g8h8 c5d6,1190,253,100,14,endgame master,https://lichess.org/woXiqNFz/black#58,,,2026-06-06
08eGr,8/1p2k1p1/2q1bbBp/p2p4/5Q2/4P1B1/6PK/8 b - - 3 35,a5a4 f4b4 e7d7 b4f8 f6d8 g6e8 d7c8 e8c6,1670,246,100,2,endgame master masterVsMaster,https://lichess.org/XvFehKSV/black#70,,,2026-06-07
08lx4,2R5/5q1k/2NQ4/p2p2b1/P2Pp1p1/4P1Pp/1r3P1P/5RKB w - - 3 33,c6e5 f7f2 f1f2 b2b1 c8c1 b1c1 f2f1 g5e3,1796,75,100,103,middlegame,https://lichess.org/momM2JbI#65,,,2026-06-04
08tzj,8/6p1/4k3/3p2PP/R4K2/5P2/8/7r w - - 1 47,h5h6 h1h4 f4g3 h4a4,1182,107,100,14,endgame,https://lichess.org/elgac28x#93,,,2026-06-07
093y7,8/1k1q1ppp/2r2n2/3p4/5P2/R6P/1P2Q1P1/6K1 b - - 6 34,f6e4 e2b5 b7c7 a3a7 c7d8 a7d7,1421,80,100,65,endgame,https://lichess.org/apzGVCTz/black#68,,,2026-06-06
09GfS,rnbqk2r/pp3p1p/4pp2/8/1bBp3B/2N5/PP3PPP/R2QK1NR b KQkq - 0 9,d4c3 d1d8 e8d8 h4f6,1673,75,100,115,opening,https://lichess.org/s9rEyvwJ/black#18,Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation,,2026-06-05
09VlI,8/3Q4/6pk/7p/8/Pp6/1P4r1/Kq6 w - - 0 43,a1b1 g2g1 d7d1 g1d1,887,115,100,39,endgame,https://lichess.org/kmmte1PC#85,,,2026-06-04
09YcK,r3k2r/1b2bpp1/ppqppn1p/4P3/P7/1NN3B1/1PP2PPP/R2QR1K1 w kq - 1 16,e5d6 c6g2,1073,209,100,15,middlegame,https://lichess.org/oDt9Kqja#31,Sicilian_Defense Sicilian_Defense_French_Variation,,2026-06-05
09q1C,r2qkb1r/1pp1p1pp/p3P3/n1n5/P1pQ2b1/2N2N2/1P3PPP/R1B1KB1R b KQkq - 2 11,g4f3 d4c5 a5b3 c5f5,2254,76,100,74,opening,https://lichess.org/bIWgkfWQ/black#22,Queens_Gambit_Accepted Queens_Gambit_Accepted_Showalter_Variation,,2026-06-07
09ywy,r5k1/5p1p/8/p4R2/1p1B4/5PK1/P4P1P/4b3 b - - 2 33,e1c3 f5g5 g8f8 d4c5 f8e8 g5g8 e8d7 g8a8,1454,76,100,134,endgame,https://lichess.org/KZNDmTto/black#66,,,2026-06-03
0A8Lx,r7/pp2R1R1/5r2/2P2k2/1Pp1nPp1/4P3/P7/2K5 b - - 5 33,a7a5 e7e5,1277,123,100,13,endgame,https://lichess.org/cmTLyFu2/black#66,,,2026-06-03
0AVXc,4r1k1/p3rpp1/2R4p/3p2q1/4b3/2Q4P/PP3PP1/4RBK1 w - - 3 25,e1e3 d5d4 c3d4 e4c6,1678,172,100,15,middlegame,https://lichess.org/vT5rZOzA#49,,,2026-06-06
0AZiG,4k3/R2R1pp1/7p/4Pp2/5P2/8/2r2KPP/1r6 w - - 0 29,f2g3 b1b3 g3h4 c2g2 d7e7 e8d8 a7d7 d8c8 d7c7 c8b8 c7b7 b3b7 e7b7 b8b7,2209,81,100,70,endgame,https://lichess.org/JbbN8XJo#57,,,2026-06-01
0BKcq,8/1pR3pp/rP3pk1/8/3Pp3/8/5PPP/6K1 w - - 5 39,c7b7 a6a1,918,142,100,12,endgame master,https://lichess.org/LtFLkKub#77,,,2026-06-08
0BNUY,6k1/p6p/2p3p1/8/3K1PP1/1P6/1P6/8 w - - 0 36,d4c5 h7h5 g4h5 g6h5,1500,124,100,45,endgame,https://lichess.org/CaIUCqzC#71,,,2026-06-02
0BVi6,8/4PQbk/1p1B2pp/p2p1p2/3Pb3/P3P2P/2q1r1PK/6R1 w - - 1 38,e7e8q e2g2 g1g2 c2g2,1071,87,100,43,middlegame,https://lichess.org/7dZDM9ot#75,,,2026-06-01
0BYJG,2b2rk1/8/1p3q1p/4n1p1/p1P1BN1P/P1Q3P1/1P2pP2/4R1K1 w - - 0 30,f4d3 e5f3 e4f3 f6f3 d3f4 f3c3,2179,77,100,128,middlegame,https://lichess.org/L4ECp0Qo#59,,,2026-06-02
0Bf7c,1br5/1R2R2p/1P2n1pk/8/N7/7P/5PP1/6K1 w - - 3 39,e7e6 c8c1 e6e1 c1e1,1045,192,100,15,endgame,https://lichess.org/aNB5tfo3#77,,,2026-06-08
0Boud,r6r/1pp1kpp1/pq2p3/6Q1/4B2p/P4P2/1PP5/3R3K b - - 8 24,e7f8 d1d8 a8d8 g5d8,1285,96,100,62,endgame,https://lichess.org/WrQIvxby/black#48,,,2026-06-04
0CD31,8/1p1kn1N1/3p4/r6p/P1RP1K2/2P3P1/8/8 w - - 5 46,c4b4 e7d5 f4e4 d5b4,1362,81,100,110,endgame,https://lichess.org/a4ziaAFE#91,,,2026-06-02
0CHci,r4rk1/p1q3pp/1p2pp2/2nn4/3Q1P2/PP6/1BP3PP/2KR1B1R w - - 2 18,g2g3 c5b3 c1b1 b3d4,1421,112,100,34,middlegame,https://lichess.org/XDRboo9h#35,Van_Geet_Opening Van_Geet_Opening_Other_variations,,2026-06-04
0CSHI,2r5/8/1P5p/3k4/4pKP1/PR4P1/8/8 w - - 1 60,a3a4 c8f8 f4e3 f8f3 e3d2 f3b3,1220,87,100,52,endgame,https://lichess.org/CDs2ILga#119,,,2026-06-07
0CkYD,8/1R5p/1n3ppk/4p3/pr5P/4N2K/1P4P1/8 b - - 2 36,f6f5 g2g4 b4g4 e3g4,2072,77,100,208,endgame master,https://lichess.org/cxQI65Sg/black#72,,,2026-06-03
0D61w,r3kb1r/1b1p2p1/pp3p2/4q3/3p1Bp1/2N3P1/PP2BP2/2RQ1RK1 w kq - 0 18,f4e5 h8h1,1200,129,100,10,middlegame,https://lichess.org/QUQdjQTT#35,Sicilian_Defense Sicilian_Defense_Delayed_Alapin_Variation,,2026-06-02
0DPWz,8/8/8/P1p5/8/3k4/1K6/8 b - - 3 57,c5c4 b2c1 d3e4 a5a6 e4d5 a6a7,1767,79,100,43,endgame,https://lichess.org/ShqyY7ni/black#114,,,2026-06-03
0DQyI,3b1rk1/1Q3ppp/p1r1p3/P2qP3/3P4/5N1P/R4PP1/5RK1 b - - 0 22,d8a5 a2a5 d5a5 b7c6,1491,218,100,16,middlegame,https://lichess.org/qSJ39G9z/black#44,,,2026-06-06
0Dgyt,r4rk1/1b3pb1/p2p4/1p3Q2/7n/1B6/PP3P2/2RR2K1 w - - 0 26,f5g4 h4f3 g1h1 f3e5,1281,80,100,94,middlegame,https://lichess.org/2CDCAPsF#51,,,2026-06-05
0Dz3T,rnbq3r/ppp2pkB/1b2N1p1/3nP3/3P3Q/P1N5/1PP3PP/R1B1K2R b KQ - 0 14,c8e6 h4h6,1028,211,100,9,middlegame,https://lichess.org/8856m7rm/black#28,French_Defense French_Defense_Rubinstein_Variation,,2026-06-07
0Ektu,r2qkb1r/pp1n1pp1/7p/1Bppn3/6b1/1PP1BN2/P2N1PPP/R2Q1RK1 b kq - 3 12,a7a6 f3e5 g4d1 b5d7 d8d7 e5d7,1926,139,100,19,opening,https://lichess.org/j8yAzE5i/black#24,Sicilian_Defense Sicilian_Defense_Old_Sicilian,,2026-06-07
0Enwh,1rb1r1k1/5q2/pp1p2pp/2pPb3/P3N3/4QB1P/1P3PP1/3RR1K1 b - - 1 24,g8h7 e4d6 e5d6 e3e8 f7e8 e1e8,1675,93,100,28,master middlegame,https://lichess.org/kjgC5pBA/black#48,,,2026-06-05
0Eu9Z,3rr3/p3qk1p/1pbp1np1/P4p2/1PP1nP2/3QPN1P/1B4P1/3RR1K1 b - - 0 27,d6d5 f3e5 f7g7 e5c6,1766,80,100,39,middlegame,https://lichess.org/xCvGyRzb/black#54,,,2026-06-03
0F0X2,2r1r1k1/ppp2ppp/2q2n2/2b1B3/5Q2/2N5/PPP2PPP/3RR1K1 w - - 3 16,c3e4 f6e4 f4e4 c6e4 e1e4 f7f6,2019,78,100,98,middlegame,https://lichess.org/lwX97DMf#31,Ruy_Lopez Ruy_Lopez_Steinitz_Defense,,2026-06-02
0F76W,1r4kb/1r5p/6R1/8/P1qp3Q/8/1P6/K6R b - - 0 40,g8f8 h4f4 c4f7 f4d6 b7e7 d6b8,2170,83,100,42,middlegame,https://lichess.org/tCP9c4GV/black#80,,,2026-06-01
0FMZo,r5k1/1p2bp2/4pn1p/1N2B1p1/8/4PP1P/rPK3P1/R6R w - - 2 22,b5a3 a8a3 a1a2 a3a2,1812,84,100,29,middlegame,https://lichess.org/dZqNyVpt#43,,,2026-06-04
0FrmJ,rn1qkb1r/p3nppp/1p6/2pbN3/2B5/5Q2/PPPP1PPP/RNB1R1K1 b kq - 3 8,d5f3 c4f7,1525,122,100,15,opening,https://lichess.org/Y8bJzlYt/black#16,Sicilian_Defense Sicilian_Defense_Jalalabad_Variation,,2026-06-07
0G25R,4r1rk/pbpq1p1p/5P2/2p2R2/3p4/3B4/PPP2K1P/R1BQ4 w - - 3 22,c1h6 g8g2 f2f1 d7c6 d1f3 c6f3 f5f3 b7f3,2092,155,100,15,middlegame,https://lichess.org/ro4xYqE5#43,,,2026-06-07
0G3Vf,8/Q4pkp/3P2p1/pq6/8/6PP/5P1K/8 b - - 0 36,a5a4 a7d4 g7g8 d6d7 b5d7 d4d7,2004,98,100,25,endgame,https://lichess.org/LuJgPpM6/black#72,,,2026-06-02
0G893,7r/1p6/p7/4Qk2/3Pp3/2BqP2n/bP5R/2K5 b - - 3 49,f5g4 h2g2 g4f3 e5g3,1500,500,100,0,middlegame,https://lichess.org/D1gUwIAf/black#98,,,2026-06-08
0GTKr,2kr3r/1pp3b1/p2p2pp/3N1q2/8/5P2/PPPQ2PP/2KR3R b - - 1 18,h6h5 d5e7 c8b8 e7f5,916,139,100,24,middlegame,https://lichess.org/p5iDF7jl/black#36,Philidor_Defense Philidor_Defense_Exchange_Variation,,2026-06-03
0Gj1U,8/8/5kp1/7p/5P1P/6K1/8/8 w - - 3 59,g3f3 f6f5 f3g3 f5e4 g3f2 e4f4,1366,87,100,69,endgame,https://lichess.org/qHWM9Qnm#117,,,2026-06-05
0GjzG,r4rk1/1p1b1p1p/pq1p2p1/3P3n/1p1n1PNb/1N1B3P/PBP2RP1/R2Q2K1 b - - 4 17,d4b3 g4h6,1127,169,100,6,middlegame,https://lichess.org/gxljB0BJ/black#34,Sicilian_Defense Sicilian_Defense_Wing_Gambit,,2026-06-05
0HES6,6k1/6p1/PQ5p/1P3N2/4n3/7P/3rrPK1/8 w - - 1 43,a6a7 e2f2 b6f2 d2f2 g2g1 f2a2,1575,113,100,22,endgame,https://lichess.org/rwTG0MOW#85,,,2026-06-03
0HUpG,r4k2/pN2r1pp/2p5/q7/n1Q2PP1/7P/6K1/1R1R4 b - - 0 34,a4b6 b7a5 b6c4 a5c4,1888,112,100,26,middlegame,https://lichess.org/XKuuL7dr/black#68,,,2026-06-08
0HcsC,k7/ppQ5/2p4P/2Nr4/6b1/8/PPP5/2K5 w - - 5 37,h6h7 d5d1,1149,250,100,2,endgame master,https://lichess.org/dWOqADFf#73,,,2026-06-02
0HsNt,4r1k1/ppQ2ppp/8/3p4/q2Pr3/7P/PP3PP1/3R1RK1 b - - 4 24,e4d4 b2b3 a4c6 c7c6 b7c6 d1d4,1975,81,100,76,endgame,https://lichess.org/yREaBkic/black#48,,,2026-06-01
0HxMT,7k/R7/4p1R1/3p2K1/4n3/1P6/P7/5r2 w - - 4 57,g5h6 f1h1,1172,160,100,22,endgame,https://lichess.org/fohiChC3#113,,,2026-06-01
0IHX0,6k1/7p/2r5/2B5/pP3K2/P6P/6P1/8 b - - 1 40,c6f6 f4e5 g8f7 b4b5 f6g6 b5b6,2130,99,100,17,endgame,https://lichess.org/hz7Gw9zc/black#80,,,2026-06-05
0IKGV,5r2/p2kpp2/3p4/5Q2/2r1P3/1N1R1P2/qPP3P1/2K5 b - - 3 28,e7e6 f5b5 d7e7 b5c4,1023,164,100,15,endgame master,https://lichess.org/Pr6xnuMn/black#56,,,2026-06-02
0IKfA,b3r3/5kp1/4Np2/3P2p1/4P3/3R4/5NPP/2n3K1 w - - 9 42,d3c3 c1e2 g1f1 e2c3,920,145,100,28,endgame master,https://lichess.org/3scOMswS#83,,,2026-06-02
0IWzd,3r1rk1/p2n1p2/1bQ3pp/1p2q3/1P2N3/P2B2R1/5P2/4K1R1 b - - 0 26,g8g7 g3g6 f7g6 c6g6 g7h8 g6h6,1427,79,100,71,middlegame,https://lichess.org/VchL2RfY/black#52,,,2026-06-02
0Iaiy,2r1r1k1/pp3p2/6pp/1PPN4/5P2/P6P/5P1K/R7 b - - 0 28,c8c5 d5f6 g8g7 f6e8,1257,290,100,1,endgame master,https://lichess.org/JnXq59Y0/black#56,,,2026-06-06
0IhOw,7r/1p3kpp/p1qBpp2/3pP3/5P2/7P/P1r3P1/1R1Q3K b - - 0 22,f6f5 d1h5 f7g8 b1b7 c2c1 h1h2 c1h1 h2h1 c6c1 h1h2,1276,91,100,78,endgame,https://lichess.org/2yCWZ8QC/black#44,,,2026-06-03
0IrfY,r6k/5Qbp/5Np1/6B1/4P3/5P1P/r3q1P1/6RK b - - 0 34,a2a1 g1a1 a8a1 h1h2 a1h1 h2h1,2056,199,100,5,middlegame,https://lichess.org/8K2WQBDF/black#68,,,2026-06-05
0JSr1,6k1/4Pppp/2p2p2/p7/1q1P2P1/p2B1P2/4N2P/1rKR3R w - - 1 23,d3b1 b4b2,1505,125,100,39,endgame master,https://lichess.org/nhE48PQF#45,,,2026-06-03
0Ji2k,6k1/2p2pn1/1p4p1/2b1P2p/2P2Pb1/2N1nNK1/PP1rR1PP/1B5R w - - 10 23,e2d2 e3f5 b1f5 g7f5,1771,81,100,55,middlegame,https://lichess.org/fONsScV9#45,,,2026-06-01
0Jih4,1k4rr/1p6/1P1p4/2p1p3/2P1P3/3P1R1B/2q4p/5RbK b - - 8 37,h8h3 f3f8 g8f8 f1f8,1029,123,100,18,endgame master,https://lichess.org/7sn9KToh/black#74,,,2026-06-03
0K5qS,2k5/ppp5/8/2b2q2/3r1P2/1P3QPp/P6P/2R2RK1 w - - 0 26,g1h1 d4d3 g3g4 f5g6 f4f5 g6d6 f1d1 d3f3,2290,102,100,38,endgame,https://lichess.org/wYFuKWfv#51,,,2026-06-02
0KMu5,2R3k1/p4ppp/1n6/3p1q2/7Q/1P2B2P/5PP1/6K1 b - - 0 27,b6c8 h4d8,963,345,100,1,endgame master,https://lichess.org/D7i42QIL/black#54,,,2026-06-01
0Km44,r2q1rk1/ppp2ppp/1nn3b1/2b3N1/5P2/1BPp3Q/PP4PP/RNB2R1K b - - 2 14,d8e7 f4f5 g6f5 h3f5,1774,88,100,35,middlegame,https://lichess.org/m9XhIvKm/black#28,Ponziani_Opening Ponziani_Opening_Jaenisch_Counterattack,,2026-06-06
0Kx2I,2k2r2/1pp1b1p1/p3p2r/1q1pP3/3P4/PnP1QN1P/1PB3P1/1K1R1R2 w - - 11 25,f3d2 b3d2 e3d2 f8f1 c2d3 f1d1,1774,79,100,74,middlegame,https://lichess.org/SfXVKIJZ#49,,,2026-06-05
0LKTP,5r1k/pQ1RR1b1/7p/3N4/5p2/6pP/PP3PP1/1q4K1 w - - 2 33,e7e1 b1e1,720,161,100,12,middlegame,https://lichess.org/X6O6h8DB#65,,,2026-06-02
0LTdW,4rrk1/p4p1p/1pp3pQ/2qpP3/6R1/P6P/2P2RP1/6K1 b - - 1 24,e8e5 g4h4 e5h5 h4h5 g6h5 h6g5 g8h8 g5f6,1788,171,100,31,endgame master,https://lichess.org/2jlxsPuP/black#48,,,2026-06-07
0M1yC,r3k2r/pppqnp2/2np2b1/7P/2BbP2N/2N4P/PP6/R1BQ1R1K w kq - 0 17,h4g6 d7h3,1150,171,100,6,middlegame,https://lichess.org/t95lABP3#33,Italian_Game Italian_Game_Giuoco_Piano,,2026-06-04
